source,target,value
"104","104","1"
"2735","104","1"
"5166","104","1"
"2991","93","1"
"5037","93","1"
"40","83","1"
"83","74","1"
"83","33","1"
"40","33","1"
"5407","90","1"
"5840","41","1"
"8169","81","1"
"5133","81","1"
"4328","81","1"
"5037","81","1"
"74","78","1"
"5037","50","1"
"5864","75","1"
"5440","34","1"
"74","34","1"
"74","44","1"
"8169","67","1"
"34","67","1"
"6489","67","1"
"1292","67","1"
"5037","67","1"
"5864","67","1"
"6381","67","1"
"1681","80","1"
"40","57","1"
"454","112","1"
"667","122","1"
"4244","122","1"
"740","122","1"
"487","122","1"
"122","122","1"
"495","122","1"
"2522","122","1"
"51","123","1"
"9959","123","1"
"9964","221","1"
"4898","125","1"
"2012","125","1"
"373","126","1"
"2083","126","1"
"67","118","1"
"1073","118","1"
"443","130","1"
"362","132","1"
"1664","132","1"
"357","132","1"
"42","115","1"
"1221","174","1"
"2371","176","1"
"4336","176","1"
"326","182","1"
"800","196","1"
"2579","199","1"
"800","199","1"
"1958","200","1"
"512","138","1"
"535","140","1"
"2021","143","1"
"4254","143","1"
"527","155","1"
"660","281","1"
"1176","281","1"
"4726","281","1"
"8118","284","1"
"8118","284","1"
"324","284","1"
"1062","302","1"
"9979","241","1"
"9964","262","1"
"4597","299","1"
"122","242","1"
"2733","242","1"
"3215","285","1"
"1155","285","1"
"9964","264","1"
"940","307","1"
"2637","267","1"
"1607","345","1"
"4174","345","1"
"4274","396","1"
"1082","396","1"
"2637","396","1"
"357","357","1"
"1649","360","1"
"357","364","1"
"5037","385","1"
"2937","367","1"
"331","369","1"
"9984","371","1"
"688","372","1"
"2053","377","1"
"4946","386","1"
"146","387","1"
"2175","387","1"
"196","387","1"
"2271","387","1"
"2213","387","1"
"2154","387","1"
"2176","387","1"
"4366","388","1"
"4334","388","1"
"372","388","1"
"1694","388","1"
"4914","389","1"
"554","389","1"
"4799","392","1"
"1702","392","1"
"2093","392","1"
"1681","392","1"
"8144","393","1"
"2292","397","1"
"2292","397","1"
"2302","397","1"
"2133","398","1"
"2292","405","1"
"2292","405","1"
"659","405","1"
"2115","408","1"
"8745","408","1"
"2417","409","1"
"1843","409","1"
"2371","409","1"
"2230","409","1"
"4333","409","1"
"678","409","1"
"593","413","1"
"1698","413","1"
"789","418","1"
"2241","418","1"
"6676","419","1"
